Domain,Phylum,Class,Order,Family,Genus,Species,InSeagrass,InMark
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,FV23-1A4,FV23-1A4,y,n
Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Anthoathecata,Anthoathecata,Anthoathecata,y,y
Eukaryota,Arthropoda,Arachnida,Arachnida,Arachnida,Arachnida,Arachnida,y,n
Eukaryota,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Achnanthidium,Achnanthidium,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora,Amphora,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Arcocellulus,Arcocellulus,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillaria,Bacillaria,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophytina,Bacillariophytina,Bacillariophytina,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,Chaetoceros,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Cylindrotheca,Cylindrotheca,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Discostella,Discostella,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Fistulifera,Fistulifera,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Gyrosigma,Gyrosigma,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Haslea,Haslea,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Mediophyceae,Mediophyceae,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula,Navicula,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,Nitzschia,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Odontella,Odontella,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Phaeodactylum,Phaeodactylum,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pinnularia,Pinnularia,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Placoneis,Placoneis,y,n
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pleurosigma,Pleurosigma,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Porosira,Porosira,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Skeletonema,Skeletonema,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Stauroneis,Stauroneis,y,y
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira,y,y
Eukaryota,Mollusca,Gastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda,y,y
Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium,y,n
Eukaryota,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa,y,y
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellales_fa,Heterosigma,Heterosigma,y,n
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Chlamydomonas,Chlamydomonas,y,y
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Microglena,Microglena,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Chlorocystidales,Chlorocystidales_fa,Desmochloris,Desmochloris,y,n
Eukaryota,Nematoda,Chromadorea,Chromadorida,Chromadorida,Chromadorida,Chromadorida,y,n
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Pedospumella,Pedospumella,y,n
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Spumella,Spumella,y,y
Eukaryota,Chytridiomycota,Incertae_Sedis,Chytridiales,Chytridiaceae,Chytridium,Chytridium,y,n
Eukaryota,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Cladophora,Cladophora,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Rhizoclonium,Rhizoclonium,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Brooklynella,Brooklynella,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Conthreep,Conthreep,Conthreep,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Cothurnia,Cothurnia,y,n
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Dysteria,Dysteria,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Ephelota,Ephelota,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phyllopharyngea,Phyllopharyngea,y,y
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Zoothamnium,Zoothamnium,y,y
Eukaryota,Tunicata,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,Oikopleuridae,y,n
Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae_or,Corallinophycidae_fa,Mesophyllum,Mesophyllum,y,n
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales,Fragilariales,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Grammonema,Grammonema,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Hyalodiscus,Hyalodiscus,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,Licmophora,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosira,Melosira,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosirids,Melosirids,y,n
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Rhabdonema,Rhabdonema,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Stephanopyxis,Stephanopyxis,y,y
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Tabularia,Tabularia,y,y
Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,Rhogostoma,y,y
Eukaryota,Phragmoplastophyta,Embryophyta,Cupressales,Cupressales_fa,Taiwania,Taiwania,y,y
Eukaryota,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida,Cyclopoida,Cyclopoida,y,y
Eukaryota,Ochrophyta,Diatomea,Diatomea,Diatomea,Diatomea,Diatomea,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotales_fa,Dictyotales_fa,Dictyotales_fa,y,y
Eukaryota,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,y,y
Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium,y,y
Eukaryota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes,y,n
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales,Ectocarpales,Ectocarpales,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Ectocarpales_fa,Ectocarpales_fa,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Halothrix,Halothrix,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Heribaudiella,Heribaudiella,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Pylaiella,Pylaiella,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Scytosiphon,Scytosiphon,y,y
Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta,Embryophyta,Embryophyta,Embryophyta,y,n
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium,y,y
Eukaryota,Rotifera,Monogononta,Flosculariacea,Flosculariacea,Flosculariacea,Flosculariacea,y,y
Eukaryota,Ochrophyta,Phaeophyceae,Fucales,Fucales_fa,Fucus,Fucus,y,y
Eukaryota,Gracilipodida,Gracilipodida_cl,Gracilipodida_or,Gracilipodida_fa,Flamella,Flamella,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Biecheleria,Biecheleria,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae,Gymnodiniphycidae,Gymnodiniphycidae,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium_clade,Gymnodinium_clade,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae_fa,Gyrodinium,Gyrodinium,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Pelagodinium,Pelagodinium,y,y
Eukaryota,Arthropoda,Maxillopoda,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,y,y
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia,y,n
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Incertae_Sedis,Tetracladium,Tetracladium,y,n
Eukaryota,Echinodermata,Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea,y,n
Eukaryota,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea,Ichthyosporea,y,n
Eukaryota,Ascomycota,Dothideomycetes,Incertae_Sedis,Incertae_Sedis,Cryomyces,Cryomyces,y,n
Eukaryota,Chytridiomycota,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,y,n
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis_fa,Picochlorum,Picochlorum,y,n
Eukaryota,Incertae_Sedis_ph,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Telonema,Telonema,y,n
Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata,Intramacronucleata,Intramacronucleata,Intramacronucleata,y,y
Eukaryota,Kathablepharidae,Kathablepharidae_cl,Kathablepharidae_or,Kathablepharidae_fa,Leucocryptos,Leucocryptos,y,n
Eukaryota,Basidiomycota,Microbotryomycetes,Kriegeriales,Camptobasidiaceae,Glaciozyma,Glaciozyma,y,n
Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Thraustochytriaceae,Thraustochytriaceae,y,n
Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Thraustochytrium,Thraustochytrium,y,n
Eukaryota,Ochrophyta,Phaeophyceae,Laminariales,Laminariales_fa,Lessonia,Lessonia,y,y
Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Asparagales_fa,Allium,Allium,y,n
Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Incertae_Sedis_fa,Zostera,Zostera,n,y
Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Hemiophrys,Hemiophrys,y,y
Eukaryota,Chytridiomycota,Incertae_Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomyces,Lobulomyces,y,n
Eukaryota,Chytridiomycota,Incertae_Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomycetaceae,Lobulomycetaceae,y,y
Eukaryota,Vertebrata,Mammalia,Mammalia,Mammalia,Mammalia,Mammalia,y,y
Eukaryota,Cercozoa,Imbricatea,Marimonadida,Marimonadida_fa,Pseudopirsonia,Pseudopirsonia,y,n
Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,Marine_Group_II,y,n
Eukaryota,Arthropoda,Maxillopoda,Maxillopoda,Maxillopoda,Maxillopoda,Maxillopoda,y,y
Eukaryota,Euglenozoa,Kinetoplastea,Metakinetoplastina,Neobodonida,Neobodo,Neobodo,y,n
Eukaryota,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,Corollospora,y,n
Eukaryota,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,y,n
Eukaryota,Rotifera,Monogononta,Monogononta,Monogononta,Monogononta,Monogononta,y,y
Eukaryota,Nemertea,Enopla,Monostilifera,Monostilifera,Monostilifera,Monostilifera,y,y
Eukaryota,Mucoromycota,Incertae_Sedis,Mucorales,Cunninghamellaceae,Absidia,Absidia,y,n
Eukaryota,Mollusca,Bivalvia,Myoida,Myoida,Myoida,Myoida,y,y
Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytiloida,Mytiloida,Mytiloida,y,y
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Audouinella,Audouinella,y,y
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Colaconema,Colaconema,y,n
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Nemaliophycidae_fa,Nemaliophycidae_fa,y,y
Eukaryota,Florideophycidae,Nemaliophycidae,Nemaliophycidae_or,Nemaliophycidae_fa,Rhodophysema,Rhodophysema,y,y
Eukaryota,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,y,n
Eukaryota,Mollusca,Polyplacophora,Neoloricata,Neoloricata,Neoloricata,Neoloricata,y,n
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,Candidatus_Nitrosopelagicus,y,n
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,Candidatus_Nitrosopumilus,y,n
Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas,Paraphysomonas,y,n
Eukaryota,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,y,y
Eukaryota,Ochrophyta,Ochrophyta_cl,Ochrophyta_or,Ochrophyta_fa,Bolidomonas,Bolidomonas,y,n
Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pteridomonas,Pteridomonas,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Heterocapsa,Heterocapsa,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniphycidae,Peridiniphycidae,Peridiniphycidae,y,n
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Scrippsiella,Scrippsiella,y,y
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Thoracosphaeraceae,Thoracosphaeraceae,y,n
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Atkinsiella,Atkinsiella,y,n
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Lagenidium,Lagenidium,y,n
Eukaryota,Peronosporomycetes,Peronosporomycetes_cl,Peronosporomycetes_or,Peronosporomycetes_fa,Peronosporomycetes_fa,Peronosporomycetes_fa,y,y
Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza,y,n
Eukaryota,Ochrophyta,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae,Phaeophyceae,y,n
Eukaryota,Annelida,Polychaeta,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,y,y
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Cucurbitariaceae,y,n
Eukaryota,Rotifera,Monogononta,Ploimida,Ploimida,Ploimida,Ploimida,y,y
Eukaryota,Arthropoda,Ostracoda,Podocopida,Podocopida,Podocopida,Podocopida,y,n
Eukaryota,Annelida,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,y,n
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Prasiolales,Prasiolales_fa,Stichococcus,Stichococcus,y,n
Eukaryota,Ichthyosporea,Ichthyophonae,Pseudoperkinsidae,Pseudoperkinsidae_fa,Creolimax,Creolimax,y,n
Eukaryota,Platyhelminthes,Rhabditophora,Rhabdocoela,Rhabdocoela,Rhabdocoela,Rhabdocoela,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,Rhodymeniophycidae,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Antithamnion,Antithamnion,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Harveyella,Harveyella,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Odonthalia,Odonthalia,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Phycodrys,Phycodrys,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Polysiphonia,Polysiphonia,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Rhodomela,Rhodomela,y,y
Eukaryota,Florideophycidae,Rhodymeniophycidae,Rhodymeniophycidae_or,Rhodymeniophycidae_fa,Rhodymeniophycidae_fa,Rhodymeniophycidae_fa,y,y
Eukaryota,Phragmoplastophyta,Embryophyta,Rosales,Rosales_fa,Cannabis,Cannabis,y,y
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces,y,y
Eukaryota,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidales_fa,Sarcinochrysis,Sarcinochrysis,y,n
Eukaryota,Phragmoplastophyta,Embryophyta,Solanales,Solanales_fa,Nicotiana,Nicotiana,y,n
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha,Holosticha,y,n
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Omegastrombidium,Omegastrombidium,y,n
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea,Spirotrichea,Spirotrichea,y,n
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,Strombidium,y,y
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Tintinnopsis,Tintinnopsis,y,n
Eukaryota,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_fa,Amoebophrya,Amoebophrya,y,n
Eukaryota,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_Group_I,Syndiniales_Group_I,Syndiniales_Group_I,y,y
Eukaryota,Annelida,Polychaeta,Terebellida,Terebellida,Terebellida,Terebellida,y,y
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Acrosiphonia,Acrosiphonia,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Ulotrichales_fa,Ulotrichales_fa,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Bolbocoleon,Bolbocoleon,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Pseudendoclonium,Pseudendoclonium,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulva,Ulva,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvales_fa,Ulvales_fa,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvella,Ulvella,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,y,y
Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Veneroida,y,y
Eukaryota,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda,y,y
NA,NA,NA,NA,NA,NA,Eukaryota,y,y
NA,NA,NA,NA,NA,NA,Halodaphnea,n,y
Chromista ,Ciliophora ,NA,NA,NA,NA,Pithites,n,y
Eukaryota,Chlorophyta,NA,NA,NA,NA,Ulvaria,n,y