Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Anthoceros fusiformis,Austin,,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,Anthocerotidae,,Anthocerotales,,,Anthocerotaceae,,,Anthoceros,fusiformis,,,,native,S3S4 (2020),,confirmed,observed,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-010848,,2018-04-01,Andrew Simon,iNat:13879380,Reported as Anthoceros punctatus; Check: Schofield’s report of Anthoceros punctatus is likely in error,56326,BRY,accepted,56326,Anthoceros fusiformis,Anthoceros fusiformis,Anthoceros fusiformis
Aulacomnium androgynum,(Hedw.) Schwägr.,,lover’s moss,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,Aulacomniaceae,,,Aulacomnium,androgynum,,,,native,S5 (2015),,confirmed,observed,2017-05-13,"Olivia Lee, Steve Joya, Andrew Simon & Scott Gilmore",UBC,B213486,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608820,,124384,BRY,accepted,124384,Aulacomnium androgynum,Aulacomnium androgynum,Aulacomnium androgynum
Aulacomnium palustre,(Hedw.) Schwägr.,,bog groove-moss,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,Aulacomniaceae,,,Aulacomnium,palustre,,,,native,S5 (2015),,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-05-07,Andrew Simon,iNat:45205086,,154189,BRY,accepted,154189,Aulacomnium palustre,Aulacomnium palustre,Aulacomnium palustre
Anacolia menziesii,(Turner) Paris,,Menzies’ Anacolia moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,,Anacolia,menziesii,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,iNat:5537829,,128572,BRY,accepted,128572,Anacolia menziesii,Anacolia menziesii,Anacolia menziesii
Philonotis capillaris,Lindb.,,apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,,Philonotis,capillaris,,,,native,S4 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-12-31,Andrew Simon,iNat:9328978,,123642,BRY,accepted,123642,Philonotis capillaris,Philonotis capillaris,Philonotis capillaris
Philonotis fontana,(Hedw.) Brid.,,fountain apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,,Philonotis,fontana,,,,native,S5,,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,iNat:5922794,,133809,BRY,accepted,133809,Philonotis fontana,Philonotis fontana,Philonotis fontana
Bryum argenteum,Hedw.,,silvergreen threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,argenteum,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-04,Andrew Simon,iNat:5227998,,123390,BRY,accepted,123390,Bryum argenteum,Bryum argenteum,Bryum argenteum
Bryum canariense,Brid.,,robust threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,canariense,,,,native,S4S5 (2015),,new 2017,observed,,,,,,2017-02-11,Andrew Simon,iNat:5095101,,481178,BRY,accepted,67864,Bryum canariense,Rosulabryum canariense,Bryum canariense
Bryum dichotomum,Hedw.,,gemmate threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,dichotomum,,,,native,S4? (2015),,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B111043,,,,,"Reported as Bryum bicolor; McClure Road, base of Quadra Hill; near Sturdies Bay",159528,BRY,accepted,159528,Bryum dichotomum,Bryum dichotomum,
Bryum erythroloma,(Kindb.) Syed,,threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,erythroloma,,,,native,S2S3 (2011),,new 2020,observed,,,,,,2020-04-30,Andrew Simon,iNat:44442516,,520737,BRY,accepted,159529,Bryum erythroloma,Rosulabryum erythroloma,Bryum erythroloma
Imbribryum miniatum,(Lesq.) J.R. Spence,,red threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,miniatum,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-12,Andrew Simon,iNat:5296349,,538114,BRY,accepted,538114,Imbribryum miniatum,Imbribryum miniatum,Imbribryum miniatum
Imbribryum torenii,J.R. Spence & Shevock,,threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,torenii,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-04,Steve Joya & Andrew Simon,iNat:22644618,,622988,BRY,accepted,622988,Imbribryum torenii,Imbribryum torenii,Imbribryum torenii
Pohlia annotina,(Hedw.) Lindb.,,pale-fruited threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Pohlia,annotina,,,,native,S4 (2015),,reported,unobserved,1962-06-04,Wilfred B. Schofield & F. M. Boas,UBC,B151533,,,,,"S Strait of Georgia, McLure Road, near Quadra Hill",167124,BRY,accepted,167124,Pohlia annotina,Pohlia annotina,
Ptychostomum capillare,(Hedw.) D. T. Holyoak & N. Pedersen,,capillary threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,capillare,,,,native,S4S5 (2015),,confirmed,observed,2014,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2016-12-22,Andrew Simon,iNat:4838174,,1121982,BRY,accepted,1121982,Ptychostomum capillare,Ptychostomum capillare,Ptychostomum capillare
Ptychostomum pallens,(Sw.) J.R. Spence,,pale thread moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,pallens,,,,native,S4S5 (2011),,new 2022,observed,,,,,,2022-04-10,Andrew Simon,iNat:111052938,,818538,BRY,accepted,818538,Ptychostomum pallens,Ptychostomum pallens,Ptychostomum pallens
Ptychostomum pseudotriquetrum,(Hedwig) J. R. Spence & H. P. Ramsay ex Holyoak & N. Pedersen,,marsh bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,pseudotriquetrum,,,,native,S5 (2015),,confirmed,observed,2017-05-13,Olivia Lee,UBC,B233234,,2016-10-23,Andrew Simon,iNat:4425667,,68300,BRY,accepted,68300,Ptychostomum pseudotriquetrum,Ptychostomum pseudotriquetrum,Ptychostomum pseudotriquetrum
Rosulabryum torquescens,(Bruch ex De Not.) J.R. Spence,,twisted threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,torquescens,,,,native,S4S5 (2011),,reported,unobserved,1962-06-03,Wilfred B. Schofield,UBC,B103508,,,,,,466642,BRY,unaccepted,1122377,Ptychostomum torquescens,Rosulabryum torquescens,
Epipterygium biauritum,Hanusch et al.,,transparent thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Epipterygium,biauritum,,,,native,S3S4 (2015),,confirmed,observed,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B3066,,2020-04-30,Andrew Simon,iNat:44459129,reported as Epipterygium tozeri,1458560,BRY,accepted,1458560,Epipterygium biauritum,Epipterygium biauritum,Epipterygium biauritum
Leucolepis acanthoneura,(Schwägr.) Lindb.,,Menzies' tree moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Leucolepis,acanthoneura,,,,native,S5? (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608775,,120870,BRY,accepted,120870,Leucolepis acanthoneura,Leucolepis acanthoneura,Leucolepis acanthoneura
Mnium spinulosum,Bruch & Schimp.,,red-mouthed leafy-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Mnium,spinulosum,,,,native,S5 (2015),,new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat:10564762,,124391,BRY,accepted,124391,Mnium spinulosum,Mnium spinulosum,Mnium spinulosum
Plagiomnium insigne,(Mitt.) T.J. Kop.,,badge moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,insigne,,,,native,S4S5,,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2014-09-27,Andrew Simon,iNat:2632416,,122705,BRY,accepted,122705,Plagiomnium insigne,Plagiomnium insigne,Plagiomnium insigne
Plagiomnium venustum,(Mitt.) T.J. Kop.,,magnificent moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,venustum,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-28,Lauren Magner & Andrew Simon,iNat:2663660,,126179,BRY,accepted,126179,Plagiomnium venustum,Plagiomnium venustum,Plagiomnium venustum
Rhizomnium glabrescens,(Kindb.) T.J. Kop.,,fan moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Rhizomnium,glabrescens,,,,native,S4S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-03-04,Lauren Magner & Andrew Simon,iNat:2568990,,85421,BRY,accepted,85421,Rhizomnium glabrescens,Rhizomnium glabrescens,Rhizomnium glabrescens
Cynodontium jenneri,(Schimper) Stirton,,Jenner's dog-tooth moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,,Cynodontium,jenneri,,,,native,S4S5 (2011),,new 2017,observed,,,,,,2017-03-04,Andrew Simon,iNat:22644351,,161409,BRY,accepted,161409,Cynodontium jenneri,Cynodontium jenneri,Cynodontium jenneri
Dichodontium pellucidum,(Hedw.) Schimp.,,transparent fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Aongstroemiaceae,,,Dichodontium,pellucidum,,,,native,S5 (2015),,new 2019,observed,,,,,,2019-03-17,Andrew Simon,iNat:21350313,,161820,BRY,accepted,161820,Dichodontium pellucidum,Dichodontium pellucidum,Dichodontium pellucidum
Dicranum fuscescens,Turner,,dusky forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,fuscescens,,,,native,S5 (2015) *listed subtaxa in BC,,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-09-27,Andrew Simon,iNat:2632495,,123177,BRY,accepted,123177,Dicranum fuscescens,Dicranum fuscescens,Dicranum fuscescens
Dicranum howellii,Renauld & Cardot,,Howell’s forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,howellii,,,,native,S4S5 (2011),,new 2016,observed,,,,,,2016-10-23,Andrew Simon,iNat:4850005,,161860,BRY,accepted,161860,Dicranum howellii,Dicranum howellii,Dicranum howellii
Dicranum polysetum,Sw.,,wavy-leaved moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,polysetum,,,,native,S5? (2015),,reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,161868,BRY,accepted,161868,Dicranum polysetum,Dicranum polysetum,
Dicranum scoparium,Hedw.,,broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,scoparium,,,,native,S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608937,,123134,BRY,accepted,123134,Dicranum scoparium,Dicranum scoparium,Dicranum scoparium
Dicranum tauricum,Sapjegin,,fragile forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,tauricum,,,,native,S5 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2016-04-01,Andrew Simon,iNat:4849361,,161872,BRY,accepted,161872,Dicranum tauricum,Dicranum tauricum,Dicranum tauricum
Ceratodon purpureus,(Hedw.) Brid.,,fire moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Ceratodon,purpureus,,,,native,S5,,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2013-03-22,Ryan Batten,iNat:9142296,,123117,BRY,accepted,123117,Ceratodon purpureus,Ceratodon purpureus,Ceratodon purpureus
Pleuridium acuminatum,Lindb.,,awl-leaved earthmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Pleuridium,acuminatum,,,,native,SU (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat:10564444,,127427,BRY,accepted,127427,Pleuridium acuminatum,Pleuridium acuminatum,Pleuridium acuminatum
Hymenoloma crispulum,(Hedw.) Ochyra,,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Hymenolomataceae,,,Hymenoloma,crispulum,,,,native,S4S5 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-04-04,Andrew Simon,iNat:2567328,,154135,BRY,accepted,1122768,Hymenoloma crispulum,Dicranoweisia crispula,Hymenoloma crispulum
Dicranoweisia cirrata,(Hedw.) Lindb.,,common pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,,Dicranoweisia,cirrata,,,,native,S3S4 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-02-22,Andrew Simon,iNat:2566285,,67949,BRY,accepted,67949,Dicranoweisia cirrata,Dicranoweisia cirrata,Dicranoweisia cirrata
Encalypta sp.,,,,Plantae,Bryophyta,,,Bryopsida,,,Encalyptales,,,Encalyptaceae,,,Encalypta,,,,,,,,new 2021,observed,,,,,,2021-10-23,Dan Tucker,iNat:99661795,,48368,BRY,accepted,48368,Encalypta,Encalypta,Encalypta
Fissidens bryoides,Hedw.,,lesser pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Fissidentaceae,,,Fissidens,bryoides,,,,native,S4S5 (2011),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-25,Lauren Magner & Andrew Simon,iNat:2573883,,124421,BRY,accepted,124421,Fissidens bryoides,Fissidens bryoides,Fissidens bryoides
Fissidens crispus,Sull.,,Herzog’s pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Fissidentaceae,,,Fissidens,crispus,,,,native,S3S4 (2015),,confirmed,observed,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B38500,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat:10671934,Reported as syn. Fissidens limbatus,67883,BRY,accepted,67883,Fissidens crispus,Fissidens crispus,Fissidens crispus
Entosthodon fascicularis,(Hedw.) Müll.Hal.,,banded cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,fascicularis,,,,native,S2S3 (2015),1-SC (2006),new 2022,observed,,,,,,2022-05-11,Andrew Simon,iNat:116636215,,162342,BRY,accepted,162342,Entosthodon fascicularis,Entosthodon fascicularis,Entosthodon fascicularis
Entosthodon muhlenbergii,(Turner) Fife,,Muhlenberg’s cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,muhlenbergii,,,,native,S3? (2011),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2013-03-22,Ryan Batten,iNat:9142562,,917753,BRY,accepted,917753,Entosthodon muhlenbergii,Entosthodon muhlenbergii,Entosthodon muhlenbergii
Funaria hygrometrica,Hedw.,,common cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Funaria,hygrometrica,,,,native,S4S5 (2015),,new 2018,observed,,,,,,2018-03-09,Andrew Simon,iNat:10169600,,120000,BRY,accepted,120000,Funaria hygrometrica,Funaria hygrometrica,Funaria hygrometrica
Tetraplodon mnioides,(Sw. ex Hedw.) Bruch & Schimp,,slender cruet-moss,Plantae,Bryophyta,,,Bryopsida,,,Splachnales,,,Splachnaceae,,,Tetraplodon,mnioides,,,,native,S4 (2015),,new 2013,observed,,,,,,2013-03-22,Ryan Batten,iNat:9142637,,133496,BRY,accepted,133496,Tetraplodon mnioides,Tetraplodon mnioides,Tetraplodon mnioides
Grimmia cf montana,Bruch & Schimp.,,montane dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,montana,,,,native,S3S4 (2011),,reported,unobserved,2010-04-17,Kent Brothers,VMS,,,,,,,154180,BRY,accepted,154180,Grimmia montana,Grimmia montana,
Grimmia leibergii,Paris,,Leiberg’s Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,leibergii,,,,native,S2S3 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2605709,,163390,BRY,accepted,163390,Grimmia leibergii,Grimmia leibergii,error
Grimmia lisae,De Not.,,rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,lisae,,,,native,SU (2015),,new 2015,observed,,,,,,2015-08-28,Lauren Magner & Andrew Simon,iNat:3734915,,163391,BRY,accepted,163391,Grimmia lisae,Grimmia lisae,Grimmia lisae
Grimmia ovalis,(Hedw.) Lindb. ,,flat-rock Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,ovalis,,,,native,S4? (2015),,new 2022,observed,,,,,,2022-04-30,Andrew Simon,iNat:114122128,,163397,BRY,accepted,163397,Grimmia ovalis,Grimmia ovalis,Grimmia ovalis
Grimmia pulvinata,(Hedw.) Sm.,,grey-cushioned Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,pulvinata,,,,native,S4S5 (2015),,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B113701,,2016-12-22,Andrew Simon,iNat:4837303,,56117,BRY,accepted,56117,Grimmia pulvinata,Grimmia pulvinata,Grimmia pulvinata
Grimmia ramondii,(Lam. & DC.) Margad.,,spreading-leaved Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,ramondii,,,,native,S4S5 (2011),,new 2021,observed,,,,,,2021-06-12,Dan Tucker & Andrew Simon,iNat:82929629,,338191,BRY,accepted,338191,Grimmia ramondii,Grimmia ramondii,Grimmia ramondii
Grimmia trichophylla,Grev.,,hair-pointed Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,trichophylla,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-04-02,Andrew Simon,iNat:5551251,,163406,BRY,accepted,163406,Grimmia trichophylla,Grimmia trichophylla,Grimmia trichophylla
