occurrenceID,GUID,institutionCode,Collection,Dataset,catalogNumber,Catalog,Barcode,Other Catalog Numbers,Information Withheld,basisOfRecord,Family,Accepted Name,scientificName,Notho Genus,Genus,Notho Species,Specific Epithet,Specific Authors,Infraspecific Rank,Notho Infraspecies,Infraspecific Epithet,Infraspecific Authors,Hybrid Symbol,2nd Notho Genus,2nd Genus,2nd Notho Species,2nd Specific Epithet,2nd Specific Authors,2nd Infraspecific Rank,2nd Notho Infraspecies,2nd Infraspecific Epithet,2nd Infraspecific Authors,Cultivar,Name Qualifier,Qualifier Position,Type Specimen?,Type Status,Specimen Notes,Phenology,Origin,Cultivated?,Imaged?,Site Number,recordedBy,fieldNumber,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,eventDate,country,stateProvince,County,locality,habitat,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Verbatim Coordinates,decimalLatitude,decimalLongitude,Valid LatLng,Geodetic Datum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceRemarks
1295704,,UBC,Algae,,A82322,,,,,PreservedSpecimen,Fucaceae,Fucus gardneri,Fucus gardneri,,Fucus,,gardneri,,,,,,,,,,,,,,,,,,,N,,Drift.,,,N,N,,E. Mcneil,36490,B. Mcneil,,,1996,4/2/1996,1996-04-02,Canada,British Columbia,,"S. Gulf Islands, Galiano Island, Strait of Georgia.",,,,,,48.933333,-123.45,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1295705,,UBC,Algae,,A82321,,,,,PreservedSpecimen,Gigartinaceae,Gigartina exasperata,Gigartina exasperata,,Gigartina,,exasperata,,,,,,,,,,,,,,,,,,,N,,Drift.,,,N,N,,E. Mcneil,36493,B. Mcneil,,,1996,4/2/1996,1996-04-02,Canada,British Columbia,,"S. Gulf Islands, Galiano Island, Strait of Georgia.",,,,,,48.933333,-123.45,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1295706,,UBC,Algae,,A82320,,,,,PreservedSpecimen,Gracilariaceae,Gracilaria pacifica,Gracilaria pacifica,,Gracilaria,,pacifica,,,,,,,,,,,,,,,,,,,N,,Drift.,tetrasporic,,N,N,,E. Mcneil,36492,B. Mcneil,,,1996,4/2/1996,1996-04-02,Canada,British Columbia,,"S. Gulf Islands, Galiano Island, Strait of Georgia.",,,,,,48.933333,-123.45,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1295707,,UBC,Algae,,A82319,,,,,PreservedSpecimen,Gracilariaceae,Gracilaria pacifica,Gracilaria pacifica,,Gracilaria,,pacifica,,,,,,,,,,,,,,,,,,,N,,Drift.,,,N,N,,E. Mcneil,36491,B. Mcneil,,,1996,4/2/1996,1996-04-02,Canada,British Columbia,,"S. Gulf Islands, Galiano Island, Strait of Georgia.",,,,,,48.933333,-123.45,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1299104,,UBC,Algae,,A80341,,,,,PreservedSpecimen,,Saccharina latissima,Saccharina latissima,,Saccharina,,latissima,,,,,,,,,,,,,,,,,,,N,,Originally identified as Laminaria saccharina = Saccharina latissima.,,,N,N,,O. Kaddatz,13,,27,1,1991,1991 Jan 27,1991-01-27,Canada,British Columbia,,"Whaler Bay, Galiano Island.",,,,,,48.883333,-123.333333,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
3556850,,UBC,Algae,,A80351,,,,,PreservedSpecimen,Alariaceae,Egregia menziesii,Egregia menziesii,,Egregia,,menziesii,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Oliver Kaddatz,15,,29,1,1991,1991 Jan 29,1991-01-29,Canada,British Columbia,,"Galiano Island, Whaler Bay.",,,,,,48.883333,-123.333333,Y,Unknown,,Amelia Choy,Verbatim from Collector/Sheet,
3557149,,UBC,Algae,,A80348,,,,,PreservedSpecimen,,Desmarestia ligulata,Desmarestia ligulata,,Desmarestia,,ligulata,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Oliver Kaddatz,18,,29,1,1991,1991 Jan 29,1991-01-29,Canada,British Columbia,,"Galiano Island, Whaler Bay.",,,,,,48.883333,-123.333333,Y,Unknown,,Amelia Choy,Verbatim from Collector/Sheet,
2488073,00d09c92-570d-4f91-84ab-51ab0ef8c3f0,OSU,A,,,OSC-A-010914,,,,PreservedSpecimen,Desmarestiaceae,,Desmarestiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4681690.,,,N,Y,,Byron E. Lippert,s.n.,,8,2,1986,1986-2-8,1986-02-08,Canada,British Columbia,,"Galiano Island, Sturdies Bay.",On dock on mussel.; shells.,,,,,48.863974,-123.316341,Y,WGS 84,,Heaven Roberts,Digital Map,
2488074,939c95c7-e268-4863-a8bb-392434cb3b58,OSU,A,,,OSC-A-010915,,,,PreservedSpecimen,Desmarestiaceae,,Desmarestiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4681691.,,,N,Y,,Byron E. Lippert,s.n.,,8,2,1986,1986-2-8,1986-02-08,Canada,British Columbia,,"Galiano Island, Sturdies Bay.",On wharf dock.,,,,,48.863974,-123.316341,Y,WGS 84,,Heaven Roberts,Digital Map,
2488220,2800623b-c166-4742-957f-fc47bcc34a38,OSU,A,,,OSC-A-011062,,,,PreservedSpecimen,Laminariaceae,,Laminariaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4681837.,,,N,Y,,Byron E. Lippert,s.n.,,25,5,1986,1986-5-25,1986-05-25,Canada,British Columbia,,"Galiano Island, near Lion Islet.",,,,,,48.928978,-123.459163,Y,WGS 84,,Heaven Roberts,Digital Map,
2488506,e0feaa4b-836b-451e-8a6f-8265acb9b01f,OSU,A,,,OSC-A-011356,,,,PreservedSpecimen,Weeksiaceae,,Weeksiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682146.,,,N,Y,,Byron E. Lippert,s.n.,,25,5,1986,1986-5-25,1986-05-25,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2488942,9bb160db-14a8-4e29-976a-4f88912a8c7c,OSU,A,,,OSC-A-011794,,,,PreservedSpecimen,Ceramiaceae,,Ceramiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Fertile. Https://oregonflora.org/collections/individual/index.php?occid=4682582.,fertile,,N,Y,,Byron E. Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",On Nereocystis.; epiphytic.,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2488943,ef5b4462-29df-4d52-b476-d8ace41492ed,OSU,A,,,OSC-A-011795,,,,PreservedSpecimen,Ceramiaceae,,Ceramiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Fertile. Https://oregonflora.org/collections/individual/index.php?occid=4682583.,fertile,,N,Y,,Byron E. Lippert,s.n.,,2,9,1986,1986-9-2,1986-09-02,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",On Nereocystis.; epiphytic.,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2488944,1ad002dd-0d66-4d58-acc3-22570a930e8b,OSU,A,,,OSC-A-011796,,,,PreservedSpecimen,Ceramiaceae,,Ceramiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682584.,,,N,Y,,Byron E. Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",On Nereocystis.; epiphytic.,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2488945,d7454ec0-6a48-418a-845f-0d482b62c6c4,OSU,A,,,OSC-A-011797,,,,PreservedSpecimen,Ceramiaceae,,Ceramiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682585.,,,N,Y,,Byron E. Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, Sturdies Bay.",,,,,,48.863974,-123.316341,Y,WGS 84,,Heaven Roberts,Digital Map,
2489041,182f44de-c455-45d0-971a-90f9fcd4cfbc,OSU,A,,,OSC-A-011893,,,,PreservedSpecimen,Bangiaceae,,Bangiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682681.,,,N,Y,,Timothy Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.","Saxicolous, high intertidal.; rock.",,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2489042,d02bc274-1ebf-4c2f-8898-668f90a039e9,OSU,A,,,OSC-A-011894,,,,PreservedSpecimen,Bangiaceae,,Bangiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682682.,,,N,Y,,Timothy Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",Saxicolous - high intertidal.; rock.,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
2489043,c31ef529-5f80-44bc-9bcb-8d6a928afd07,OSU,A,,,OSC-A-011895,,,,PreservedSpecimen,Bangiaceae,,Bangiaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682683.,,,N,Y,,Timothy Lippert,s.n.,,9,2,1986,1986-2-9,1986-02-09,Canada,British Columbia,,"Galiano Island, The Reefs near Lion Island.",Saxicolous - high intertidal.; rock.,,,,,48.863974,-123.333507,Y,WGS 84,,Heaven Roberts,Digital Map,
1285062,,UBC,Algae,,A64646,,,,,PreservedSpecimen,Prasiolaceae,Prasiola furfuracea,Prasiola furfuracea,,Prasiola,,furfuracea,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"Western side cove, opposite lighthouse, galiano island.",,,,,,,,,,,,,
1285063,,UBC,Algae,,A64665,,,,,PreservedSpecimen,Prasiolaceae,Prasiola meridionalis,Prasiola meridionalis,,Prasiola,,meridionalis,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"Lighthouse point, galiano island, strait of georgia.",,,,,,,,,,,,,
1285065,,UBC,Algae,,A64664,,,,,PreservedSpecimen,Prasiolaceae,Rosenvingiella polyrhiza,Rosenvingiella polyrhiza,,Rosenvingiella,,polyrhiza,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"Lighthouse point, galiano island.",,,,,,,,,,,,,
1285066,,UBC,Algae,,A64666,,,,,PreservedSpecimen,Prasiolaceae,Rosenvingiella polyrhiza,Rosenvingiella polyrhiza,,Rosenvingiella,,polyrhiza,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"Lighthouse point, galiano island.",,,,,,,,,,,,,
1285067,,UBC,Algae,,A64667,,,,,PreservedSpecimen,Prasiolaceae,Rosenvingiella polyrhiza,Rosenvingiella polyrhiza,,Rosenvingiella,,polyrhiza,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"S. Gulf Islands, Galiano Island, Strait of Georgia.",,,,,,48.933333,-123.45,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1285068,,UBC,Algae,,A64668,,,,,PreservedSpecimen,Prasiolaceae,Rosenvingiella polyrhiza,Rosenvingiella polyrhiza,,Rosenvingiella,,polyrhiza,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,David J. Garbary,s.n.,L. Golden,15,11,1981,1981 Nov 15,1981-11-15,Canada,British Columbia,,"Lighthouse point, galiano island, strait of georgia.",,,,,,,,,,,,,
2488219,b4903c03-8544-40b5-893c-43e6abffe0fe,OSU,A,,,OSC-A-011061,,,,PreservedSpecimen,Laminariaceae,,Laminariaceae,,,,,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=4681836.,,,N,Y,,Byron E. Lippert,s.n.,,2,4,1979,1979-4-2,1979-04-02,Canada,British Columbia,,Galiano Island.,,,,,,48.937097,-123.450924,Y,WGS 84,,Heaven Roberts,Digital Map,
2488402,614f3290-3160-4c97-b9c5-f39a22939215,OSU,A,,,OSC-A-011250,,,,PreservedSpecimen,Solieriaceae,,Solieriaceae,,,,,,,,,,,,,,,,,,,,,sp. nov.,an,N,,Https://oregonflora.org/collections/individual/index.php?occid=4682042.,,,N,Y,,Byron E. Lippert,s.n.,,3,4,1979,1979-4-3,1979-04-03,Canada,British Columbia,,"Vancouver Islands, Galiano Island, Georgia Straits.",Drift.,,,,,48.937097,-123.450924,Y,WGS 84,,Heaven Roberts,Digital Map,
1237668,,UBC,Algae,,A57498,,,,,PreservedSpecimen,,Codium fragile,Codium fragile,,Codium,,fragile,,,,,,,,,,,,,,,,,,,N,,-40 ft. to surface.,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,49.016667,-123.583333,Y,Unknown,,Crystal Kwong,Verbatim from Collector/Sheet,
1242232,,UBC,Algae,,A57492,,,,,PreservedSpecimen,,Griffithsia pacifica,Griffithsia pacifica,,Griffithsia,,pacifica,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1246982,,UBC,Algae,,A57497,,,,,PreservedSpecimen,,Membranoptera multiramosa,Membranoptera multiramosa,,Membranoptera,,multiramosa,,,,,,,,,,,,,,,,,,,N,,,Cystocarpic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1248388,,UBC,Algae,,A57493,,,,,PreservedSpecimen,,Nitophyllum nottii,Nitophyllum nottii,,Nitophyllum,,nottii,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1248389,,UBC,Algae,,A57494,,,,,PreservedSpecimen,,Nitophyllum nottii,Nitophyllum nottii,,Nitophyllum,,nottii,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251748,,UBC,Algae,,A57491,,,,,PreservedSpecimen,,Pleonosporium vancouverianum,Pleonosporium vancouverianum,,Pleonosporium,,vancouverianum,,,,,,,,,,,,,,,,,,,N,,,Spermatangial,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251911,,UBC,Algae,,A57495,,,,,PreservedSpecimen,Delesseriaceae,Polyneura latissima,Polyneura latissima,,Polyneura,,latissima,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251912,,UBC,Algae,,A57496,,,,,PreservedSpecimen,Delesseriaceae,Polyneura latissima,Polyneura latissima,,Polyneura,,latissima,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1253642,,UBC,Algae,,A57505,,,,,PreservedSpecimen,Bangiaceae,Porphyra nereocystis,Porphyra nereocystis,,Porphyra,,nereocystis,,,,,,,,,,,,,,,,,,,N,,,Fertile,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1258478,,UBC,Algae,,A57503,,,,,PreservedSpecimen,Ulvaceae,Ulva fenestrata,Ulva fenestrata,,Ulva,,fenestrata,,,,,,,,,,,,,,,,,,,N,,,Fertile,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1265905,,UBC,Algae,,A57500,,,,,PreservedSpecimen,Dasyaceae,Rhodoptilum plumosum,Rhodoptilum plumosum,,Rhodoptilum,,plumosum,,,,,,,,,,,,,,,,,,,N,,,Cystocarpic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1267124,,UBC,Algae,,A57487,,,,,PreservedSpecimen,Ceramiaceae,Scagelia corallina var. occidentale,Scagelia corallina var. occidentale,,Scagelia,,corallina,,var.,,occidentale,,,,,,,,,,,,,,,N,,,"Spermatangial, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1274046,,UBC,Algae,,A57502,,,,,PreservedSpecimen,Rhodymeniaceae,Fryeella gardneri,Fryeella gardneri,,Fryeella,,gardneri,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1274047,,UBC,Algae,,A57499,,,,,PreservedSpecimen,Rhodymeniaceae,Fryeella gardneri,Fryeella gardneri,,Fryeella,,gardneri,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1283736,,UBC,Algae,,A57506,,,,,PreservedSpecimen,,Sargassum muticum,Sargassum muticum,,Sargassum,,muticum,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285897,,UBC,Algae,,A57488,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Spermatangial, cystocarpic, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285898,,UBC,Algae,,A57489,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Spermatangial, cystocarpic, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285899,,UBC,Algae,,A57490,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Tetrasporic, spermatangial",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285900,,UBC,Algae,,A57501,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica,Antithamnionella pacifica,,Antithamnionella,,pacifica,,,,,,,,,,,,,,,,,,,N,,,Cystocarpic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
3558166,,UBC,Algae,,A84175,,,,,PreservedSpecimen,,Desmarestia aculeata,Desmarestia aculeata,,Desmarestia,,aculeata,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Sandra C. Lindstrom,s.n.,,3,10,1973,1973 Oct 03,1973-10-03,Canada,British Columbia,,Northeast Galiano Island.,Subtidal rock.,,,,,49.014722,-123.571667,Y,Unknown,,Amelia Choy,Verbatim from Collector/Sheet,