scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Alces alces,,,Moose,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Alceini,Alces,alces,,,,native,S5 (2015),,new 2008,observed,,,,,,2008-12-06,Joe Holubar,https://www.inaturalist.org/observations/49196089,,522193,MAM,accepted,522193,Alces alces,Alces alces
Aplodontia rufa,,,Mountain Beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,Aplodontia,rufa,,,,native,S4,,reported,unobserved,1925-11-25,,UWBM,18838,1702667031,,,,,43736,MAM,accepted,43736,Aplodontia rufa,Aplodontia rufa
Callospermophilus lateralis,,,Golden-mantled Ground Squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Callospermophilus,lateralis,,,,native,S5? (2015),,reported,unobserved,1943-06-13,"Munro, JA",ROM,28579,1211862388,,,,,180010,MAM,accepted,180010,Callospermophilus lateralis,Callospermophilus lateralis
Canis latrans,Say,,coyote,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,latrans,,,,native,S5 (2015),,confirmed,observed,1930-12-01,J. Ronayne,UBCBBM,M006157,1292001409,2008-06-07,John D Reynolds,https://www.inaturalist.org/observations/21931600,,42051,MAM,accepted,42051,Canis latrans,Canis latrans
Canis lupus,Linnaeus,,grey wolf,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,lupus,,,,native,S4S5 (2015),,confirmed,observed,1932-03-26,K. Racey,UBCBBM,M017450,1292012664,2019-09-05,patrick7472,https://www.inaturalist.org/observations/47265521,,42048,MAM,accepted,42048,Canis lupus,Canis lupus
Castor canadensis,Kuhl,,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5,,confirmed,observed,1800-01-01,Woodland Park Zoo,UWBM,19682,1702667440,2004-06-13,P̴l A. Olsvik,https://www.inaturalist.org/observations/117708688,,43794,MAM,accepted,43794,Castor canadensis,Castor canadensis
Cervus canadensis canadensis,,,American Elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,,,native,S5 (2015),,reported,unobserved,1953-06-19,R.W. Pillsbury,UBCBBM,M004489,1291999771,,,,,564777,MAM,accepted,564777,Cervus canadensis canadensis,Cervus canadensis canadensis
Cervus canadensis roosevelti,Merriam,,Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,roosevelti,,native,S3S4 (2017),,confirmed,observed,1987-04-12,,,HBL008269,3349970451,2004-07-19,Ken McMillan,https://www.inaturalist.org/observations/14649197,,566550,MAM,accepted,566550,Cervus canadensis roosevelti,Cervus canadensis roosevelti
Clethrionomys gapperi,,,Southern Red-backed Vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,native,S5 (2015),,confirmed,observed,1910-04-22,Annie M. Alexander,MVZ,12310,1145691035,2013-06-18,Sean Daniels,https://www.inaturalist.org/observations/103183981,,1431274,MAM,accepted,1431274,Clethrionomys gapperi,Clethrionomys gapperi
Clethrionomys gapperi occidentalis,Merriam,,"southern red-backed vole, occidentalis subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,occidentalis,,native,S1 (2006),,reported,unobserved,1946-09-30,M.J. Carter  H.D. Fisher,UBCBBM,M001974,1291997252,,,,,1431805,MAM,accepted,1431805,Clethrionomys gapperi occidentalis,Clethrionomys gapperi occidentalis
Corynorhinus townsendii,Cooper,,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,native,S3 (2022),,confirmed,observed,1800-01-01,Chester C. Lindt; Preparator(s): Chester C. Lindt,UWBM,63188,1702701211,2013-07-24,ToddCarnahan.com,https://www.inaturalist.org/observations/68036264,,74205,MAM,accepted,74205,Corynorhinus townsendii,Corynorhinus townsendii
Dama dama,,,European Fallow Deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Dama,dama,,,,exotic,SNA (2021),,new 2007,observed,,,,,,2007-06-01,Jamie Fenneman,https://www.inaturalist.org/observations/156328568,,42161,MAM,accepted,42161,Dama dama,Dama dama
Didelphis virginiana,,,Virginia Opossum,Animalia,Chordata,Vertebrata,,Mammalia,Theria,,Didelphimorphia,,,Didelphidae,Didelphinae,Didelphini,Didelphis,virginiana,,,,exotic,SNA (2020),,confirmed,observed,1983-10-27,"Sullivan, S. L.",OMNH,35891,202063525,2017-01-01,Mark Wynja,https://www.inaturalist.org/observations/124810603,,42652,MAM,accepted,42652,Didelphis virginiana,Didelphis virginiana
Eptesicus fuscus,Beauvois,,big brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,,,,native,S5,,confirmed,observed,1910-08-30,Harry S. Swarth,MVZ,12589,1145694215,2018-06-26,Heather,https://www.inaturalist.org/observations/49912183,,40509,MAM,accepted,40509,Eptesicus fuscus,Eptesicus fuscus
Erethizon dorsatum,L.,,North American porcupine,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Erethizontoidea,Erethizontidae,Erethizontinae,,Erethizon,dorsatum,,,,native,S4,,new 2020,observed,,,,,,2020-05-29,Yanik Nill,https://www.inaturalist.org/observations/48047810,,44026,MAM,accepted,44026,Erethizon dorsatum,Erethizon dorsatum
Euderma maculatum,,,Spotted Bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Euderma,maculatum,,,,native,S3S4 (2022),1-SC (2005),confirmed,observed,2014-01-01,,,,3969344017,2022-07-25,Jason Headley,https://www.inaturalist.org/observations/130879500,,40631,MAM,accepted,40631,Euderma maculatum,Euderma maculatum
Glaucomys sabrinus,Shaw,,northern flying squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Pteromyini,Glaucomys,sabrinus,,,,native,S5,,confirmed,observed,1800-01-01,,UWBM,18823,1702667030,2013-01-30,Doug McCutchen,https://www.inaturalist.org/observations/175278939,,46266,MAM,accepted,46266,Glaucomys sabrinus,Glaucomys sabrinus
Gulo gulo luscus,L.,,"wolverine, luscus",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Gulo,gulo,,luscus,,native,S3 (2010),1-SC (2018) ,confirmed,observed,2010-05-12,Keith B. Aubry,UWBM,81885,1702719947,2019-04-05,Robyn Worcester,https://www.inaturalist.org/observations/169016127,,41852,MAM,accepted,236285,Gulo gulo luscus,Gulo gulo
Lasionycteris noctivagans,LeConte,,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,,,,native,S4S5,,confirmed,observed,1915-08-10,"Spreadborough, William",CMN,2501,1804094636,2007-11-10,WD,https://www.inaturalist.org/observations/72471082,,40629,MAM,accepted,40629,Lasionycteris noctivagans,Lasionycteris noctivagans
Lasiurus cinereus,Beauvois,,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,,,,native,S4S5,,confirmed,observed,1927-08-31,A.C. Brooks,UBCBBM,M005391,1292000582,2022-04-22,Aiva Noringseth,https://www.inaturalist.org/observations/113248084,,40523,MAM,accepted,40523,Lasiurus cinereus,Lasiurus cinereus
Lepus americanus,Erxleben,,snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,,,native,S5 (2015),,confirmed,observed,1916-07-15,"Spreadborough, William",CMN,2674,1804070550,2012-07-13,onyxrat,https://www.inaturalist.org/observations/67885414,,43132,MAM,accepted,43132,Lepus americanus,Lepus americanus
Lepus americanus washingtonii,Erxleben,Baird,"snowshoe hare, Washington subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,washingtonii,,native,S1 (2011),,confirmed,observed,1894-12-13,Allan Cyril Brooks,MCZ,BANGS-2435,476815461,2011-07-09,Lee E. Harding,https://www.inaturalist.org/observations/7617644,,236660,MAM,accepted,236660,Lepus americanus washingtonii,Lepus americanus washingtonii
Lontra canadensis,Shreber,,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Lutrinae,,Lontra,canadensis,,,,native,S5 (2015),,confirmed,observed,1800-01-01,,UWBM,82696,1702720791,2005-08-24,Tony Wood,https://www.inaturalist.org/observations/5974182,,41777,MAM,accepted,41777,Lontra canadensis,Lontra canadensis
Lynx canadensis,,,Canada Lynx,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,canadensis,,,,native,S5 (2015),,reported,unobserved,1898-01-15,E. D. Brooks,MCZ,BANGS-9059,476857247,,,,,41974,MAM,accepted,41974,Lynx canadensis,Lynx canadensis
Lynx rufus,"Rafinesque,",,western bobcat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,rufus,,,,native,S5 (2015),,confirmed,observed,1932-01-09,J. Bailiff,UBCBBM,M005960,1292001191,2008-12-16,Ken McMillan,https://www.inaturalist.org/observations/15462915,,41976,MAM,accepted,41976,Lynx rufus,Lynx rufus
Marmota caligata,Eschscholtz,,hoary marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,caligata,,,,native,S5,,confirmed,observed,1913-08-04,"Korten, H.",CMN,2278,1804053695,1986-08-15,FreckLes,https://www.inaturalist.org/observations/177572920,,46087,MAM,accepted,46087,Marmota caligata,Marmota caligata
Marmota flaviventris,Audubon & Bachman,,yellow-bellied marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,flaviventris,,,,native,S5? (2015),,confirmed,observed,1934-07-01,G.J. Spencer,UBCBBM,M000221,1291995523,2006-08-04,Jef Taylor,https://www.inaturalist.org/observations/47287723,,46086,MAM,accepted,46086,Marmota flaviventris,Marmota flaviventris
Marmota monax,,,Groundhog,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,monax,,,,native,S5 (2015),,reported,unobserved,1938-09-30,K. Racey,UBCBBM,M005843,1292001071,,,,,46095,MAM,accepted,46095,Marmota monax,Marmota monax
Marmota vancouverensis,,,Vancouver Island Marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,vancouverensis,,,,native,S1 (2015),1-E (2003),confirmed,observed,1910-07-07,,MVZ,12093,1145688682,2000-07-15,Steve Ansell,https://www.inaturalist.org/observations/104740897,,46091,MAM,accepted,46091,Marmota vancouverensis,Marmota vancouverensis
Martes caurina,Merriam,,Pacific marten,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Martes,caurina,,,,native,S5?,,confirmed,observed,1896-03-17,Allan Cyril Brooks,MCZ,BANGS-5540,476869365,1987-09-21,graeme45,https://www.inaturalist.org/observations/69738915,,453111,MAM,accepted,453111,Martes caurina,Martes caurina
Mephitis mephitis,Schreber,,striped skunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,Mephitis,mephitis,,,,native,S5 (2015),,confirmed,observed,1895-09-04,Allan Cyril Brooks,MCZ,BANGS-3700,476863908,2008-05-18,lhurteau,https://www.inaturalist.org/observations/16818069,,41880,MAM,accepted,41880,Mephitis mephitis,Mephitis mephitis
Microtus longicaudus,Merriam,,long-tailed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,longicaudus,,,,native,S5 (2015),,reported,unobserved,1916-06-26,"Spreadborough, William",CMN,2655,1804069078,,,,,44307,MAM,accepted,44307,Microtus longicaudus,Microtus longicaudus
Microtus montanus,,,Montane Vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,montanus,,,,native,S5 (2015),,reported,unobserved,1901-09-12,C. K. Worthen,FMNH,8201,665776271,,,,,44315,MAM,accepted,44315,Microtus montanus,Microtus montanus
Microtus oregoni,Bachman,,creeping vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,oregoni,,,,native,S4?,,reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3620,476860499,,,,,44318,MAM,accepted,44318,Microtus oregoni,Microtus oregoni
Microtus pennsylvanicus,Ord.,,meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,,,,native,S5 (2015),,confirmed,observed,1895-08-05,,RBINS-Scientific Heritage,6010,3025977687,2014-06-10,Liam Steele,https://www.inaturalist.org/observations/69834384,,44311,MAM,accepted,44311,Microtus pennsylvanicus,Microtus pennsylvanicus
Microtus richardsoni,,,Water Vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,richardsoni,,,,native,S4S5 (2015),,reported,unobserved,1916-08-12,"Spreadborough, William",CMN,2706,1804050903,,,,,44323,MAM,accepted,44323,Microtus richardsoni,Microtus richardsoni
Microtus townsendii,Bachman,,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,native,S5?,,confirmed,observed,1910-06-02,Annie M. Alexander,MVZ,12311,1145691140,2000-11-05,graeme45,https://www.inaturalist.org/observations/69738897,,44298,MAM,accepted,44298,Microtus townsendii,Microtus townsendii
Mus musculus,,,House Mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Murini,Mus,musculus,,,,exotic,SNA (2020),,confirmed,observed,1920-08-23,,UWBM,18805,1702667058,2015-03-25,Terry Carr,https://www.inaturalist.org/observations/68433437,,44705,MAM,accepted,44705,Mus musculus,Mus musculus
Mustela erminea,L.,,stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,erminea,,,,native,S5 (2015),,reported,unobserved,1910-05-01,E. Raymond Hall,MVZ,12482,1145693007,,,,,41808,MAM,accepted,41808,Mustela erminea,Mustela erminea
Mustela richardsonii,Bonaparte,,American stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,richardsonii,,,,native,S5 (2015),,new 2017,observed,,,,,,2017-12-04,breannawilson,https://www.inaturalist.org/observations/16576404,,1264427,MAM,accepted,1264427,Mustela richardsonii,Mustela richardsonii
Myocastor coypus,,,Coypu,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Octodontoidea,Echimyidae,Echimyinae,Myocastorini,Myocastor,coypus,,,,unlisted,unlisted,,reported,unobserved,1957-01-01,I.McT. Cowan,UBCBBM,M007283,1292002505,,,,,43997,MAM,accepted,43997,Myocastor coypus,Myocastor coypus
Myotis californicus,Audubon & Bachman,,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,,,,native,S4S5,,confirmed,observed,1889-04-19,"Macoun, John",CMN,152,1804090427,2011-11-11,bps921,https://www.inaturalist.org/observations/50747235,,40342,MAM,accepted,40342,Myotis californicus,Myotis californicus
Myotis evotis,H. Allen,,Miller's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,,,,native,S5? (2015),,confirmed,observed,1936-06-26,"Laing, Hamilton M.",CMN,14151,1804084476,2018-08-18,carl1986,https://www.inaturalist.org/observations/15715775,,40354,MAM,accepted,40354,Myotis evotis,Myotis evotis
Myotis keenii,,,Keen's Myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,keenii,,,,native,S4?,,reported,unobserved,1941-09-14,K. Racey,UBCBBM,M005485,1292000762,,,,,40345,MAM,accepted,40345,Myotis keenii,Myotis keenii
Myotis lucifugus,LeConte,,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,,,,native,S4,,confirmed,observed,1916-08-30,"Spreadborough, William",CMN,2741,1804081278,2019-05-05,susanlundahl,https://www.inaturalist.org/observations/65991287,,40346,MAM,accepted,40346,Myotis lucifugus,Myotis lucifugus
Myotis thysanodes,,,Fringed Myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,thysanodes,,,,native,S2S3 (2022),,new 2022,observed,,,,,,2022-07-26,Jason Headley,https://www.inaturalist.org/observations/132671608,,40347,MAM,accepted,40347,Myotis thysanodes,Myotis thysanodes
Myotis volans,H. Allen,,long-legged myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,volans,,,,native,S4S5,,reported,unobserved,1910-08-31,Harry S. Swarth,MVZ,12588,1145694155,,,,,40344,MAM,accepted,40344,Myotis volans,Myotis volans
