Taxon,Matched.Taxon,Notes
Lupinus latifolius,Lupinus latifolius ssp. latifolius,
Lupinus latifolius var. latifolius,Lupinus latifolius ssp. latifolius,
Lupinus lepidus lobbii,,
Lupinus nootkatensis,,
Lupinus polyphyllus,Lupinus polyphyllus ssp. polyphyllus,
Luzula comosa laxa,Luzula comosa var. laxa,
Luzula comosa var.  laxa,Luzula comosa var. laxa,
Luzula multiflora,Luzula multiflora ssp. multiflora,
Luzula multiflora multiflora,Luzula multiflora ssp. multiflora,
Luzula parviflora,Luzula parviflora ssp. parviflora,
Lychnis coronaria,Silene coronaria,
Lyschiton americanum,Lysichiton americanus,
Lysichiton americanum,Lysichiton americanus,
Lysimachia arvensis,,
Lysimachia europaea arctica,Lysimachia europaea,
Lysimachia europaea ssp. arctica,Lysimachia europaea,
M. glomerata,Madia glomerata,
M. gracilis,Madia gracilis,
M. laxa,Myosotis laxa,
M. linearis,Montia linearis,
M. madioides,Anisocarpus madioides,
M. moschatus,Erythranthe moschata,
M. neglecta,Malva neglecta,
M. parvifolia,Montia parvifolia ssp. parvifolia,
M. pumila,Malus domestica,
M. sativa,Madia sativa,
M. scorpioides,Myosotis scorpioides,
M. smithii,Melica smithii,
M. suaveolens,Mentha suaveolens,
M. verticillatum,Myriophyllum spicatum,
Madia exigua,,
Madia madioides,Anisocarpus madioides,
Mahonia aquifolium,Berberis aquifolium,
Mahonia aquilifolium,Berberis aquifolium,
Mahonia nervosa,Berberis nervosa,
Maianthemum dilatum,Maianthemum dilatatum,
Maianthemum racemosum,Maianthemum racemosum ssp. amplexicaule,
Maianthemum racemosum amplexicaule,Maianthemum racemosum ssp. amplexicaule,
Malus baccata,,
Malus domestica,,
Malus x domestica,Malus domestica,
Malus x_domestica,Malus domestica,
Malva arborea,,
Malva sylvestris,,
Matricaria matricarioides,Matricaria discoidea,
Medicago sativa,,
Melampyrum lineare,Melampyrum lineare var. lineare,
Melampyrum lineare var. lineare,Melampyrum lineare,
Melica smithii x subulata,Melica smithii × subulata,
Melilotus alba,Melilotus albus,
Mentha × piperita,,
Mentha arvensis,Mentha canadensis,
Mentha spicata,,
Micranthes nelsoniana,Micranthes nelsoniana var. cascadensis,
Micranthes nelsoniana cascadensis,Micranthes nelsoniana var. cascadensis,
Microseris lindleyi,Uropappus lindleyi,
Mimulus alsinoides,Erythranthe alsinoides,
Mimulus guttatus,Erythranthe cf guttata,
Mimulus moschatus,Erythranthe moschata,
Minuartia biflora,Cherleria biflora,
Miscanthus sinensis,,
Montia parvifolia parvifolia,Montia parvifolia,
Mutarda arvensis,,
Myosotis latifolia,,
Myriophyllum,Myriophyllum sp.,
Myriophyllum verticillatum,Myriophyllum sp.,
N. pedunculata,Nemophila pedunculata,
Nastertium officinale,Nasturtium officinale,
Nasturtium microphyllum,Nasturtium officinale,
Nemophila maculata,,
Nemophila parviflora var. parviflora,Nemophila parviflora,
Nepeta cataria,,
Nepeta racemosa,,
Nephrophyllidium crista-galli crista-galli,,
Nuphar polysepalum,Nuphar polysepala,
Nymphaea odorata,,
Oenothera villosa,,
Oreopteris quelpartensis,,
Ornithogalum umbellatum,,
Orobanche californica,Aphyllon californicum ssp. californicum,
Orobanche uniflora,Aphyllon purpureum,
Orthocarpus pusillus,Triphysaria pusilla,
Osmorhiza chilensis,Osmorhiza berteroi,
Oxycoccus oxycoccos,Vaccinium oxycoccos,
P. amphibium,Persicaria amphibia,
P. aviculare,Polygonum aviculare,
P. brectholdii,Potamogeton berchtoldii,
P. compressa,Poa compressa,
P. convolvulus,Fallopia convolvulus,
P. elegans,Platanthera elegans ssp. elegans,
P. fowleri,Polygonum fowleri,
P. howellii,Poa howellii,
P. japonica,Petasites japonicus,
P. macrocera,Plectritis macrocera,
P. major,Plantago major,
P. maritima,Plantago maritima,
P. monticola,Pinus monticola,
P. natans,Potamogeton natans,
P. norvegica,Potentilla norvegica,
P. nuttalliana,Puccinellia nuttalliana,
P. palustris,Poa palustris,
P. persicaria,Persicaria maculosa,
P. picta,Pyrola picta,
P. ponderosa,Pinus ponderosa var. ponderosa,
P. pumila,Puccinellia pumila,
P. secunda,Poa secunda ssp. secunda,
P. spergulariaeforme,Polygonum spergulariiforme,
P. tenellus,Plagiobothrys tenellus,
P. tremuloides,Populus tremuloides,
P. trivialis,Poa trivialis,
P. unalaschensis,Platanthera unalascensis,
Pachistima myrsinites,Paxistima myrsinites,
Papaver orientale,,non-established
Parentucellia viscosa,Bellardia viscosa,
Parthenocissus inserta,,non-established
Parthenocissus quinquefolia,,non-established
Penstemon davidsonii,Penstemon davidsonii var. menziesii,
Penstemon davidsonii menziesii,Penstemon davidsonii var. menziesii,
Penstemon procerus,Penstemon procerus var. tolmiei,coast mountain variety
Penstemon procerus tolmiei,Penstemon procerus var. tolmiei,coast mountain variety
Pentagramma triangularis,Pentagramma triangularis ssp. triangularis,
Pentagramma triangularis triangularis,Pentagramma triangularis ssp. triangularis,
Perideridia montana,Perideridia gairdneri,
Petasites frigidus,,confirm variety
Petasites frigidus frigidus,Petasites frigidus var. frigidus,
Petasites frigidus palmatus,Petasites frigidus var. palmatus,
Petasites frigidus var. nivalis,Petasites frigidus var. frigidus,
Petrosedum orientale,,non-established
Petrosedum rupestre,,non-established
Phacelia hastata hastata,Phacelia hastata ssp. hastata,
Phacelia sericea,Phacelia sericea var. sericea,
Phedimus spurius,,non-established
Philadelphus lewesii,Philadelphus lewisii,
Phlox diffusa,Phlox diffusa ssp. longistylis,
Phlox diffusa longistylis,Phlox diffusa ssp. longistylis,
Phlox gracilis,Microsteris gracilis,
Phlox gracilis ssp. gracilis,Microsteris gracilis,
Phlox subulata,,non-established
Phragmites communis,Phragmites australis ssp. americanus,
Pinguicula vulgaris,Pinguicula macroceras,
Pinus contorta,Pinus contorta var. contorta,
Pinus contorta contorta,Pinus contorta var. contorta,
Pinus mugo,,non-established
Pinus ponderosa,Pinus ponderosa var. ponderosa,
Pinus ponderosa ponderosa,Pinus ponderosa var. ponderosa,
Pinus sylvestris,,non-established
Piperia elegans,Platanthera elegans ssp. elegans,
Piperia elegans (inc. maritima),Platanthera elegans ssp. elegans,
Piperia unalascensis,Platanthera unalascensis,
Plantago elongata var. elongata,Plantago elongata,
Plantago maritima juncoides,Plantago maritima,
Plantago marítima ssp. juncoides,Plantago maritima,
Platanthera dilatata,,confirm variety
Platanthera dilatata dilatata,Platanthera dilatata var. dilatata,
Platanthera dilatata leucostachys,Platanthera dilatata var. leucostachys,
Platanthera elegans elegans,Platanthera elegans,
Platanthera elegans ssp. elegans,Platanthera elegans,
Platanthera hyperborea,Platanthera aquilonis,
Platanus occidentalis,,non-established
Plectritis brachystemon,Plectritis congesta ssp. brachystemon,
Plectritis congesta,,confirm subspecies
Plectritis congesta brachystemon,Plectritis congesta ssp. brachystemon,
Plectritis congesta congesta,Plectritis congesta ssp. congesta,
Poa bulbosa,Poa bulbosa ssp. vivipara,
Poa bulbosa vivipara,Poa bulbosa ssp. vivipara,
Poa secunda,Poa secunda ssp. secunda,
Poa secunda secunda,Poa secunda ssp. secunda,
Poa secunda ssp. secunda,Poa secunda ssp. secunda,
Polygonatum × hybridum,,non-established
Polygonum amphibium,Persicaria amphibia,
Polygonum persicaria,Persicaria maculosa,
Pontederia cordata,,non-established
Populus alba,,non-established
Populus balsamifera ssp. trichocarpa,Populus trichocarpa,
Populus tremuloides var. vancouveriana,Populus tremuloides,
Potamogeton pusillus,Potamogeton pusillus ssp. pusillus,
Potamogeton pusillus var. tenuissimus,Potamogeton berchtoldii,
Potentilla anserina ssp. pacifica,Argentina pacifica,
Potentilla anserina var. pacifica,Argentina pacifica,
Potentilla diversifolia,Potentilla glaucophylla var. glaucophylla,
Potentilla egedii,Argentina anserina,
Potentilla glaucophylla,Potentilla glaucophylla var. glaucophylla,
Potentilla palustris,Comarum palustre,
Prenanthes alata,Nabalus alatus,
Primula japonica,,non-established
Primula pauciflora,,confirm variety
Primula pauciflora macrocarpa,Primula pauciflora var. macrocarpa,
Primula pauciflora pauciflora,Primula pauciflora var. pauciflora,
Prunella vulgaris,,confirm subspecies
Prunella vulgaris lanceolata,Prunella vulgaris ssp. lanceolata,
Prunella vulgaris vulgaris,Prunella vulgaris ssp. vulgaris,
Prunus emarginata,Prunus emarginata var. emarginata,
Prunus emarginata emarginata,Prunus emarginata var. emarginata,
Prunus persica,,non-established
Prunus x pugetensis,Prunus × pugetensis,
Pseudotsuga menziesii,Pseudotsuga menziesii var. menziesii,
Pseudotsuga menziesii menziesii,Pseudotsuga menziesii var. menziesii,
Pseudotsuga menziesii ssp. menziesii,Pseudotsuga menziesii var. menziesii,
Pteridium aquilinum,Pteridium aquilinum var. pubescens,
Pteridium aquilinum pubescens,Pteridium aquilinum var. pubescens,
Pteridium pinetorum,,non-established
Pyrola aphylla (asarifolia),Pyrola aphylla,
Pyrola asarifolia,,confirm subspecies
Pyrola asarifolia bracteata,Pyrola asarifolia ssp. bracteata,
Quercus garryana,Quercus garryana var. garryana,
Quercus garryana garryana,Quercus garryana var. garryana,
R. aquatilis,Ranunculus aquatilis,
R. conglomeratus,Rumex conglomeratus,
R. crispus,Rumex crispus,
R. flammula,Ranunculus flammula,
R. gymnocarpa,Rosa gymnocarpa var. gymnocarpa,
R. islandica,Rorippa palustris ssp. palustris,
R. laciniatus,Rubus laciniatus,
R. lobbii,Ribes lobbii,
R. obtusifolius,Rumex obtusifolius,
R. parviflorus,Rubus parviflorus,
R. repens,Ranunculus repens,
R. salicifolius,Rumex transitorius,
R. sardous,Ranunculus sardous,
R. sativus,Raphanus sativus,
R. spectabilis,Rubus spectabilis,
R. uncinatus,Ranunculus uncinatus,
Ranunculus cymbalaria,Halerpestes cymbalaria,
Ranunculus eschscholtzii,Ranunculus eschscholtzii var. eschscholtzii,
Ranunculus flammula,Ranunculus flammula var. reptans,
Ranunculus flammula reptans,Ranunculus flammula var. reptans,
Ranunculus flammula var. ovalis,Ranunculus flammula,
Ranunculus occidentalis,Ranunculus occidentalis var. occidentalis,
Ranunculus occidentalis occidentalis,Ranunculus occidentalis var. occidentalis,
Rhamnus purshiana,Frangula purshiana,
Rhinanthus minor minor,Rhinanthus minor,
Rhinanthus minor ssp. minor,Rhinanthus minor,
Rhododendron × hybridum,,non-established
Rhododendron ponticum,,non-established
Rhus diversiloba,Toxicodendron diversilobum,
Ribes divaricatum,Ribes divaricatum var. divaricatum,
Ribes divaricatum divaricatum,Ribes divaricatum var. divaricatum,
Ribes rubrum,,apparently planted; not clear that it is introduced
Ribes sanguineum,Ribes sanguineum var. sanguineum,
Ribes sanguineum sanguineum,Ribes sanguineum var. sanguineum,
Rorippa islandica,Rorippa palustris ssp. palustris,
Rosa eglanteria,Rosa rubiginosa,
Rosa gymnocarpa,Rosa gymnocarpa var. gymnocarpa,
Rosa gymnocarpa gymnocarpa,Rosa gymnocarpa var. gymnocarpa,
Rosa gymnocarpa ssp. gymnocarpa,Rosa gymnocarpa var. gymnocarpa,
Rosa gymnocarpa var gymnocarpa,Rosa gymnocarpa var. gymnocarpa,
Rosa nutkana,Rosa nutkana ssp. nutkana,
Rosa nutkana nutkana,Rosa nutkana ssp. nutkana,
Rosa nutkana subsp nutkana,Rosa nutkana ssp. nutkana,
Rosa pisocarpa,Rosa pisocarpa ssp. pisocarpa,
Rosa pisocarpa pisocarpa,Rosa pisocarpa ssp. pisocarpa,
Rosa pisocarpa subsp pisocarpa,Rosa pisocarpa ssp. pisocarpa,
Rubus allegheniensis allegheniensis,Rubus allegheniensis,
Rubus armeniacus,Rubus bifrons,
Rubus discolor,Rubus bifrons,
Rubus fruticosus,Rubus fruticosus complex,
Rubus idaeus,Rubus idaeus ssp. strigosus,
Rubus leucodermis leucodermis,Rubus leucodermis,
Rubus leucodermis var. leucodermis,Rubus leucodermis,
Rubus occidentalis,,non-established
Rubus procerus,Rubus bifrons,
Rubus spectabilis spectabilis,Rubus spectabilis,
Rudbeckia triloba,,non-established
Rumex salicifolius,Rumex transitorius,
S. album,Sedum album,
S. cooleyae,Stachys chamissonis var. cooleyae,
S. crassicaulis,Sanicula crassicaulis,
S. crispa,Stellaria crispa,
S. cucubalus,Silene vulgaris,
S. decumbens ssp. occidentalis,Sagina decumbens ssp. occidentalis,
S. integrifolia,Micranthes integrifolia,
S. lanceolatum var. nesioticum,Sedum lanceolatum var. nesioticum,
S. lucida,Salix lasiandra var. lasiandra,
S. marina,Spergularia marina,
S. maritimus var. paludosus,Bolboschoenus maritimus ssp. paludosus,
S. microcarpus,Scirpus microcarpus,
S. mollis,Symphoricarpos mollis,
S. natans,Sparganium natans,
S. procumbens,Sagina procumbens,
S. reflexum,Petrosedum rupestre,
S. sarrachoides,Solanum sarrachoides,
S. sitchensis,Salix sitchensis,
S. spathulifolium,Sedum spathulifolium,
S. sylvaticus,Senecio sylvaticus,
S. vulgaris,Senecio vulgaris,
Sagina decumbens,Sagina decumbens ssp. occidentalis,
Sagina maxima,Sagina maxima ssp. crassicaulis,
Sagina maxima crassicaulis,Sagina maxima ssp. crassicaulis,
Salicornia perennis,Salicornia pacifica,
Salicornia virginica,Salicornia depressa,
Salicornia virginica,Salicornia pacifica,
Salix × pendulina tristis,,non-established
Salix babylonica,,non-established
Salix barclayi,,
Salix lasiandra,Salix lasiandra var. lasiandra,
Salix lasiandra lasiandra,Salix lasiandra var. lasiandra,
Salix lucida,Salix lasiandra var. lasiandra,
Salvia rosmarinus,,non-established
Sambucus canadensis,,misreported?
Sambucus racemosa,Sambucus racemosa var. arborescens,
Sambucus racemosa arborescens,Sambucus racemosa var. arborescens,
Sambucus racemosa racemosa,Sambucus racemosa var. arborescens,
Sambucus racemosa ssp. pubens,Sambucus racemosa var. arborescens,
Sanguisorba minor ssp. muricata,Sanguisorba minor,
Sanicula crassicaulis crassicaulis,Sanicula crassicaulis var. crassicaulis,
Sanicula crassicaulis tripartita,Sanicula crassicaulis var. tripartita,
Sarracenia purpurea,Sarracenia purpurea ssp. purpurea,
Sarracenia purpurea purpurea,Sarracenia purpurea ssp. purpurea,
Satureja douglasii,Clinopodium douglasii,
Saxifraga bronchialis,Saxifraga bronchialis ssp. austromontana,
Saxifraga bronchialis austromontana,Saxifraga bronchialis ssp. austromontana,
Saxifraga bronchialis subsp. austromontana,Saxifraga bronchialis ssp. austromontana,
Saxifraga caespitosa,Saxifraga cespitosa,
Scilla forbesii,,non-established
Scilla nonscripta,Hyacinthoides × massartiana,
Scirpus acutus,Schoenoplectus acutus,
Scirpus sylvaticus,,possibly introduced; not recognized by Province
Scirpus validus,Schoenoplectus acutus,
Sedum lanceolatum,Sedum lanceolatum var. nesioticum,
Sedum lanceolatum nesioticum,Sedum lanceolatum var. nesioticum,
Sedum lanceolatum nesioticum,Sedum lanceolatum var. nesioticum,
Sedum rupestre,Petrosedum rupestre,
Sedum tetractinum,,non-established
Sellaria nitens,Stellaria nitens,
Senecio fremontii,Senecio fremontii var. fremontii,
Senecio jacobaea,Jacobaea vulgaris,
Silene alba,Silene latifolia,
Sisyrinchium idahoense,Sisyrinchium idahoense var. idahoense,
Sisyrinchium idahoense idahoense,Sisyrinchium idahoense var. idahoense,
Sisyrinchium idahoensis,Sisyrinchium idahoense var. idahoense,
Smilicina racemosa,Maianthemum racemosum ssp. amplexicaule,
Solanum americanum var. nodiflorum,Solanum americanum,
Solanum rostratum,,apparently planted; not clear that it is introduced
Solidago rugosa,Solidago rugosa var. rugosa,
Sonchus arvensis,Sonchus arvensis ssp. arvensis,
Sonchus arvensis arvensis,Sonchus arvensis ssp. arvensis,
Sonchus arvensis var. arvensis,Sonchus arvensis ssp. arvensis,
Sorbus scopulina,Sorbus scopulina var. cascadensis,
Sorbus scopulina cascadensis,Sorbus scopulina var. cascadensis,
Sorbus sitchensis,,confirm variety
Sorbus sitchensis grayi,Sorbus sitchensis var. grayi,
Sorbus sitchensis sitchensis,Sorbus sitchensis var. sitchensis,
Sorbus sitchensis var sitchensis,Sorbus sitchensis var. sitchensis,
Spergularia canadensis,Spergularia canadensis var. occidentalis,
Spergularia canadensis occidentalis,Spergularia canadensis var. occidentalis,
Spergularia canadensis var occidentalis,Spergularia canadensis var. occidentalis,
Spergularia macrotheca macrotheca,Spergularia macrotheca,
Spergularia macrotheca var. macrotheca,Spergularia macrotheca,
Spergularia salina,Spergularia marina,
Spiraea cantoniensis,,non-established
Spiraea douglasii douglasii,Spiraea douglasii,
Spiraea douglasii var menziesii,Spiraea douglasii,
Spiraea splendens var splendens,Spiraea splendens,
Spirea douglasii spp. douglasii,Spiraea douglasii,
Stachys chamissonis,Stachys chamissonis var. cooleyae,
Stachys chamissonis cooleyae,Stachys chamissonis var. cooleyae,
Stachys cooleyae,Stachys chamissonis var. cooleyae,
Stellaria borealis,,confirm subspecies
Stellaria borealis borealis,Stellaria borealis ssp. borealis,
Stellaria borealis sitchana,Stellaria borealis ssp. sitchana,
Stellaria longipes,Stellaria longipes ssp. longipes,
Stipa lemmonnii,Eriocoma lemmonii,
Streptopus lanceolatus,Streptopus lanceolatus var. curvipes,
Streptopus streptopoides streptopoides,Streptopus streptopoides,
Symphoricarpos albus,Symphoricarpos albus var. laevigatus,
Symphoricarpos albus albus,Symphoricarpos albus var. laevigatus,
Symphoricarpos albus laevigatus,Symphoricarpos albus var. laevigatus,
Symphoricarpos albus var laevigatus,Symphoricarpos albus var. laevigatus,
Symphoricarpos mollis hesperius,Symphoricarpos mollis,
Symphoricarpos mollis var. hesperius,Symphoricarpos mollis,
Symphyotrichum foliaceum,Symphyotrichum foliaceum var. foliaceum,
Symphyotrichum foliaceum foliaceum,Symphyotrichum foliaceum var. foliaceum,
Syringa vulgaris,,apparently planted; not clear that it is introduced
T. dichotomum,Trifolium dichotomum,
T. incarnatum,Trifolium incarnatum,
T. maritimum,Triglochin maritima,
T. microcephalum,Trifolium microcephalum,
T. microdon,Trifolium microdon,
T. pratense,Trifolium pratense,
T. subterraneum,Trifolium subterraneum,
T. vulgare,Tanacetum vulgare,
T. wormskjoldii,Trifolium wormskioldii,
Taraxacum erythrospermum,Taraxacum erythrospermum agg.,
Taraxacum laevigatum,Taraxacum erythrospermum agg.,
Taraxacum officinale,Taraxacum officinale agg.,
Taxus baccata,,non-established
Tellima grandiflorum,Tellima grandiflora,
Tetragonia tetragonoides,,non-established
Teucrium hircanicum,,non-established
Thalspi arvense,Thlaspi arvense,
Thymus pulegioides,,apparently planted; not clear that it is introduced
Tiarella trifoliata,,resolve to variety
Tiarella trifoliata laciniata,Tiarella trifoliata var. laciniata,
Tiarella trifoliata trifoliata,Tiarella trifoliata var. trifoliata,
Tiarella trifoliata unifoliata,Tiarella trifoliata var. unifoliata,
Torilis arvensis,Torilis arvensis ssp. arvensis,
Torilis japonica (arvense?),Torilis japonica,
Torreyochloa pallida pauciflora,Torreyochloa pallida var. pauciflora,
Torreyochloa pauciflora,Torreyochloa pallida var. pauciflora,
Toxicoscordion venenosum,Toxicoscordion venenosum var. venenosum,
Trautvetteria caroliniensis occidentalis,Trautvetteria caroliniensis,
Triantha occidentalis,Triantha occidentalis ssp. brevistyla,
Triantha occidentalis brevistyla,Triantha occidentalis ssp. brevistyla,
Trientalis arctica,Lysimachia europaea ssp. arctica,
Trientalis borealis ssp. latifolia,Lysimachia latifolia,
Trientalis latifolia,Lysimachia latifolia,
Trifolium glomerata,Trifolium glomeratum,
Trifolium oligathum,Trifolium oliganthum,
Trifolium procumbens,Trifolium campestre,
Trifolium willdenowii,Trifolium willdenovii,
Triglochin americanum,Triglochin maritima,
Triglochin concinnum,Triglochin concinna var. concinna,
Trillium ovatum,Trillium ovatum var. ovatum,
Trisetum cernuum var. canescens,Trisetum canescens,
Trollius laxus,Trollius albiflorus,
Trollius laxus albiflorus,Trollius albiflorus,
Trollius laxus ssp. albiflorus,Trollius albiflorus,
U. vulgaris,Utricularia macrorhiza,
Ulmus minor,,non-established
Urtica gracilis,Urtica gracilis ssp. gracilis,
Urtica gracilis gracilis,Urtica gracilis ssp. gracilis,
Utricularia vulgaris,Utricularia macrorhiza,
V. beccabunga ssp. americana,Veronica americana,
V. filiformis,Veronica filiformis,
V. minor,Vinca minor,
V. myuros,Festuca myuros,
V. pallens,Viola palustris,
V. palustris,Viola palustris,
V. parvifolium,Vaccinium parvifolium,
V. peregrina,Veronica peregrina var. peregrina,
V. persica,Veronica persica,
V. phlomoides,Verbascum phlomoides,
V. scutellata,Veronica scutellata,
V. sempervirens,Viola sempervirens,
V. serpyllifolia,Veronica serpyllifolia,
Vaccinium oxycoccus,Vaccinium oxycoccos,
Vaccinum ovatum,Vaccinium ovatum,
Valeriana officinalis,,misreported?
Veratrum viride,Veratrum viride var. eschscholzianum,
Veratrum viride eschscholtzianum,Veratrum viride var. eschscholzianum,
Veronica alpina,Veronica alpina?,
Veronica beccabunga,Veronica americana,
Veronica beccabunga ssp. americana,Veronica americana,
Veronica peregrina,Veronica peregrina var. peregrina,
Veronica peregrina peregrina,Veronica peregrina var. peregrina,
Veronica peregrina ssp. xalapensis,Veronica peregrina var. xalapensis,
Veronica peregrina xalapensis,Veronica peregrina var. xalapensis,
Veronica serpyllifolia serpyllifolia,Veronica serpyllifolia,
Viburnum davidii,,domesticated plant
Vica gigantea,Vicia gigantea,
Vicia giganta,Vicia gigantea,
Vicia nigricans,Vicia gigantea,
Vicia nigricans gigantea,Vicia gigantea,
Vicia villosa,Vicia villosa var. villosa,
Vicia villosa villosa,Vicia villosa var. villosa,
Viola adunca,Viola adunca var. adunca,
Viola rotundifolia,,domesticated plant
Viola tricolor,,domesticated plant
Vulpia bromoides,Festuca bromoides,
Vulpia microstachys,Festuca microstachys var. pauciflora,
Vulpia microstachys var. pauciflora,Festuca microstachys var. pauciflora,
Wisteria floribunda,,domesticated plant
Wisteria sinensis,,domesticated plant
Woodsia oregana,Woodsia oregana ssp. oregana,
Woodsia oregana subsp. oregana,Woodsia oregana ssp. oregana,
Yabaea microcarpa,Yabea microcarpa,
Zigadenus venenosus,Toxicoscordion venenosum,